,name,phone,principal,grades,division
493,E.B. Stanley Middle,276-739-3300,Mr. Scott Allen,6-8,Washington County Public Schools
494,E.C. Glass High,434-522-3712,Dr. Tracy S. Richardson,9-12,Lynchburg Public Schools
495,E.H. Marsteller Middle,703-393-7608,Roberta Knetter,6-8,Prince William County Public Schools
496,E.S.H. Greene Elementary,804-780-5082,Linda L Sims,PK-5,Richmond Public Schools
497,Eagle Ridge Middle,571-252-2140,Scott Phillips,6-8,Loudoun County Public Schools
498,Eagle Rock Elementary,540-884-2421,Ms. Sandy Gould,PK-5,Botetourt County Public Schools
499,Eagle View Elementary,703-322-3100,Ms. Patricia A. Granada,PK-6,Fairfax County Public Schools
500,Early Learning Center,434-542-4463,Mrs. Carolyn M. Baker,PK,Charlotte County Public Schools
501,East Rockingham High,540-298-7450,Mr. Eric Baylor,9-12,Rockingham County Public Schools
502,East Salem Elementary,540-375-7001,Mrs. Diane D. Rose,PK-5,Salem Public Schools
503,Eastern Elementary/Middle,540-626-7281,Mr. Gregory M. Canaday,KG-7,Giles County Public Schools
504,Eastern Montgomery Elementary,540-268-1147,Ms. Denise E. Boyle,PK-5,Montgomery County Public Schools
505,Eastern Montgomery High,540-268-3010,Mr. Daniel G. Knott,9-12,Montgomery County Public Schools
506,Eastern View High,540-825-0621,Mr. E.G. Bradshaw,9-12,Culpeper County Public Schools
507,Easton Preschool,757-892-3290, ,PK,Norfolk Public Schools
508,Eastside High,276-395-3389,Dante Lee,9-12,Wise County Public Schools
509,Echo Lake Elementary,804-527-4672,Ms. Cynthia E. Foust,PK-5,Henrico County Public Schools
510,Ecoff Elementary,804-768-6185,Dr. Joshua Cole,PK-5,Chesterfield County Public Schools
511,Edgemont Primary,540-965-1420,Ms. Ruth F. Fleming,PK-3,Covington Public Schools
512,Edison High,703-924-8000,Ms. Pamela E. Brumfield,9-12,Fairfax County Public Schools
513,Edison High School Academy,703-924-8000, ,,Fairfax County Public Schools
514,Edward E. Drew Jr. Middle,540-371-1415,Ms. Tammara M. Hanna,6-8,Stafford County Public Schools
515,Edward G. Clymore Elementary,540-245-5043,Mrs. Jane Wright,PK-5,Augusta County Public Schools
516,Edward W. Wyatt Middle,434-634-5159,Mr. Noah Rogers,5-8,Greensville County Public Schools
517,Edwin A. Gibson Elementary School,434-799-6426,Mrs. Kimberly K. Agnor,KG-5,Danville Public Schools
518,Edwin W. Chittum Elementary,757-465-6300,Mrs. Sharon W. Miles,PK-5,Chesapeake Public Schools
519,Elephant's Fork Elementary,757-923-5250,Mr. Andre Skinner,PK-5,Suffolk Public Schools
520,Elizabeth D. Redd Elementary,804-780-5061,Mrs. Sherry Wharton-Carey,PK-5,Richmond Public Schools
521,Elizabeth Davis Middle,804-541-4700,Dr. Tameshia V Grimes,6-8,Chesterfield County Public Schools
522,Elizabeth Holladay Elementary,804-261-5040,Ms. Kimberly A. Olsen,PK-5,Henrico County Public Schools
523,Elizabeth Scott Elementary,804-541-4660,Joan Temple,KG-5,Chesterfield County Public Schools
524,Elizabeth Vaughan Elementary,703-494-3220,Glynis Taylor,PK-5,Prince William County Public Schools
525,Elk Knob Elementary,276-546-1837,Ms. Lisa Willis,PK-5,Lee County Public Schools
526,Elkhardt Middle,804-745-3600,Mr. Eric Jones,6-8,Richmond Public Schools
527,Elko Middle,804-328-4110,Ms. Cheryl L. Guempel,6-8,Henrico County Public Schools
528,Elkton Elementary,540-298-1511,Mr. Robert Dansey,PK-5,Rockingham County Public Schools
529,Elkton Middle,540-298-1228,Dr. Ramona R. Pence,6-8,Rockingham County Public Schools
530,Elmont Elementary,804-365-8100,Mr. Larry W. Hardy,PK-5,Hanover County Public Schools
531,Elon Elementary,434-528-6496,Kimberly L Anderson,PK-5,Amherst County Public Schools
532,Elydale Elementary,276-445-4439,Ms. Tara E. Williams,5-7,Lee County Public Schools
533,Emerald Hill Elementary,540-937-7361,Mrs. Renee Wootten,PK-5,Culpeper County Public Schools
534,Emerick Elementary,540-571-2440,Mrs. Dawn E. Haddock,PK-5,Loudoun County Public Schools
535,Emily Spong Preschool Center,757-393-5247,Mrs. Venessa P Whichard-Harris,PK,Portsmouth Public Schools
536,Empowerment Academy,804-328-4280, ,,Henrico County Public Schools
537,Enderly Heights Elementary,540-261-6151,Christy Harris,2-4,Buena Vista Public Schools
538,Enon Elementary,804-530-5720,Mr. Michael Crusco,PK-5,Chesterfield County Public Schools
539,Enterprise Elementary,703-590-1558,Ms. Melanie McClure,PK-5,Prince William County Public Schools
540,Ervinton Elementary,276-835-8423,Mr. Dennis Deel,PK-8,Dickenson County Public Schools
541,Essex High,804-443-4301,Ms. Angela Mosley,9-12,Essex County Public Schools
542,Essex Intermediate,804-443-3040,Mrs. Angela Gross,5-8,Essex County Public Schools
543,Ethel M. Gildersleeve Middle,757-591-4862,Ms. Courtney Mompoint,6-8,Newport News Public Schools
544,Ettrick Elementary,804-520-6005,Teressa Clary,PK-5,Chesterfield County Public Schools
545,Eureka Elementary,434-736-8458,Mr. W. Brian Hamilton,KG-5,Charlotte County Public Schools
546,Evendale Elementary,540-662-0531,Mrs. Sue Ellen Gossard,KG-5,Frederick County Public Schools
547,Evening School of Excellence,804-652-3717, ,,Henrico County Public Schools
548,Evergreen Elementary,804-378-2400,Mr. Matthew Maher,PK-5,Chesterfield County Public Schools
549,Evergreen Mill Elementary,571-252-2900,Mr. Michael A. Pellegrino,PK-5,Loudoun County Public Schools
550,F.W. Kling Jr. Elementary,540-261-6717,Sherrie Wheeler,KG-1,Buena Vista Public Schools
551,Fair Oaks Elementary,804-328-4085,Mrs. Pamela E. Harvey,PK-5,Henrico County Public Schools
552,Fairfax County Adult High,703-503-6407,Ms. Jane Cruz,9-12,Fairfax County Public Schools
553,Fairfax High,703-219-2200,Mr. David M Goldfarb,9-12,Fairfax County Public Schools
554,Fairfax High School Academy,703-219-2200, ,,Fairfax County Public Schools
555,Fairfax Villa Elementary,703-267-2800,Ms. Gail Kinsey,PK-6,Fairfax County Public Schools
556,Fairfield Court Elementary,804-780-4639,Craig Mayo,PK-5,Richmond Public Schools
557,Fairfield Elementary,757-648-2480,Mr. Douglas Knapp,PK-5,Virginia Beach Public Schools
558,Fairfield Elementary School,540-348-5202,Ms. Vicki W. Stevens,PK-5,Rockbridge County Public Schools
559,Fairfield Middle,804-328-4020,Mr. Arthur G. Raymond,6-8,Henrico County Public Schools
560,Fairhill Elementary,703-208-8100,Ms. Pamela Clayborne-Morgan,PK-6,Fairfax County Public Schools
561,Fairlawn Elementary,757-892-3260,Ms. Michele Logan,PK-5,Norfolk Public Schools
562,Fairview Elementary,703-503-3700,Ms. Lynn A Mayer,PK-6,Fairfax County Public Schools
563,Fairview Elementary,276-236-2365,Mr. Michael Reavis,KG-5,Grayson County Public Schools
564,Fairview Elementary,540-853-2978,Ms. April Plympton,PK-5,Roanoke Public Schools
565,Falling Branch Elementary,540-381-6145,Ms. Julie Vanidestine,PK-5,Montgomery County Public Schools
566,Falling Creek Elementary,804-743-3630,Pam Johnson,PK-5,Chesterfield County Public Schools
567,Falling Creek Middle,804-743-3640,Melanie Knowles,6-8,Chesterfield County Public Schools
568,Fallon Park Elementary,540-853-2535,Ms. Cindy Delp,PK-5,Roanoke Public Schools
569,Falls Church E.C. Resource Ctr.,703-207-4000, ,PK,Fairfax County Public Schools
570,Falls Church High,703-207-4000,Mr. Michael Yohe,9-12,Fairfax County Public Schools
571,Falls Church High School Academy,703-207-4000, ,,Fairfax County Public Schools
572,Falmouth Elementary,540-373-7458,Mrs. Gayle J. Thyrring,PK-5,Stafford County Public Schools
573,Family Education Center For Parenting Teens,703-228-2700, ,,Arlington County Public Schools
574,Fancy Gap Elementary School,276-728-7504,Dr. Jeanne D. Edwards,PK-5,Carroll County Public Schools
575,Fannie W. Fitzgerald Elementary,703-583-4195,Ms. Bridget Outlaw,PK-5,Prince William County Public Schools
576,Farmington Elementary,540-825-0713,Mrs. Gail R. Brewer,PK-5,Culpeper County Public Schools
577,Farmwell Station Middle,571-252-2320,Ms. Sherryl D. Loya,6-8,Loudoun County Public Schools
578,Fauquier High,540-347-6100,Mr. Roger A. Sites,9-12,Fauquier County Public Schools
579,Featherstone Elementary,703-491-1156,Mr. Felicia Norwood,PK-5,Prince William County Public Schools
580,Ferrum Elementary,540-365-7194,Mrs. Jennifer Talley,PK-5,Franklin County Public Schools
581,Ferry Farm Elementary,540-373-7366,Mr. Robert D. Freeman,PK-5,Stafford County Public Schools
582,Fieldale-Collinsville Middle,276-647-3841,Mrs. Wendy S. Durham,6-8,Henry County Public Schools
583,First Colonial High,757-648-5300,Dr. Nancy Farrell,9-12,Virginia Beach Public Schools
584,Fishburn Park Elementary,540-853-2931,Ms. Judy Lackey,PK-5,Roanoke Public Schools
585,Flat Rock Elementary,804-598-5743,Mrs. Tanja Nelson,PK-4,Powhatan County Public Schools
586,Flatwoods Elementary,276-346-2799,Dr. Renia Clark,PK-5,Lee County Public Schools
587,"Flint Hill Elementary</strong>br/>Street address:, 2444 Flint Hill Rd, Vienna, VA 22181",Mr. Salvador Rivera,PK-6,Fairfax County Public Schools,
588,Florence Bowser Elementary,757-923-4164, ,PK-1,Suffolk Public Schools
589,Floris Elementary,703-561-2900,Ms. Gail Porter,PK-6,Fairfax County Public Schools
590,Floyd County High,540-745-9450,Mr. Tony Deibler,8-12,Floyd County Public Schools
591,Floyd Elementary,540-745-9440,Mrs. Jill Lane,PK-7,Floyd County Public Schools
592,Floyd Kellam High,757-648-5400,Mr. Bruce A. Biehl,9-12,Virginia Beach Public Schools
593,Floyd T. Binns Middle,540-829-6894,Mrs. Sherri Harkness,6-8,Culpeper County Public Schools
594,Fluvanna County High,434-589-3666,Mr. James H. Barlow Jr.,8-12,Fluvanna County Public Schools
595,Fluvanna Middle,434-510-1000,Dr. Yardley Farquharson,5-7,Fluvanna County Public Schools
596,Forest Edge Elementary,703-925-8000,Ms. Kim Price,PK-6,Fairfax County Public Schools
597,Forest Elementary,434-525-2681,Mrs. Lorri B. Manley,KG-5,Bedford County Public Schools
598,Forest Glen Middle,757-925-5780,Mr. Melvin Bradshaw,6-8,Suffolk Public Schools
599,Forest Grove Elementary,703-434-4560,Mr. Lance C. Pace,PK-5,Loudoun County Public Schools
600,Forest Hills Elementary,434-799-6430,Ms. Catherine Lassiter,KG-5,Danville Public Schools
601,Forest Middle,434-525-6630,Mr. Scott Simmons,6-8,Bedford County Public Schools
602,Forest Park Academy,540-853-2923,Mr. Eric Anderson,,Roanoke Public Schools
603,Forest Park High,703-583-3200,Eric V. Brent,9-12,Prince William County Public Schools
604,Forestdale Elementary,703-313-4300,Ms. Cheryl A Toth,PK-6,Fairfax County Public Schools
605,Forestville Elementary,703-404-6000,Mr. Todd Franklin,PK-6,Fairfax County Public Schools
606,Fort Belvoir Elementary,703-781-2700,Mrs. Theresa Carhart,PK-6,Fairfax County Public Schools
607,Fort Blackmore Primary,276-995-2471,Mrs. Jennifer Meade,KG-3,Scott County Public Schools
608,Fort Chiswell High,276-637-3711,Mr. Robbie T. Patton,9-12,Wythe County Public Schools
609,Fort Chiswell Middle,276-637-4400,Mr. David Brett Booher,6-8,Wythe County Public Schools
610,Fort Defiance High,540-245-5050,Mr. Larry K. Landes,9-12,Augusta County Public Schools
611,Fort Hunt Elementary,703-619-2600,Ms. Barbara A. Leibbrandt,PK-6,Fairfax County Public Schools
612,Fort Lewis Elementary,540-387-6594,Ms. Cindy Klimaitis,PK-5,Roanoke County Public Schools
613,Fox Mill Elementary,703-262-2700,Ms. Mie O Devers,PK-6,Fairfax County Public Schools
614,Frances Hazel Reid Elementary,571-252-2050,Brenda Jochems,PK-5,Loudoun County Public Schools
615,Francis Asbury Elementary,757-850-5075,Ms. Susan K. Johnson,KG-5,Hampton Public Schools
616,Francis C. Hammond Middle,703-461-4100,DeBerry Goodwin,6-8,Alexandria Public Schools
617,Francis Hammond 2 Middle,703-461-4100,Jason Sutton,6-8,Alexandria Public Schools
618,Francis Hammond 3 Middle,703-461-4100,Andrea Sparks-Brown,6-8,Alexandria Public Schools
619,Francis Scott Key Elementary,703-228-4210,Dr. Marjorie Myers,PK-5,Arlington County Public Schools
620,Francis W. Jones Magnet Middle,757-850-7900,Dr. Daniel L. Bowling,6-8,Hampton Public Schools
621,Franconia Elementary,703-822-2200,Ms. Merrell Dade,PK-6,Fairfax County Public Schools
622,Frank W. Cox High,757-648-5250,Dr. Randi R. Riesbeck,9-12,Virginia Beach Public Schools
623,Franklin County High School,540-483-0221,Ms. Debora L. Decker,9-12,Franklin County Public Schools
624,Franklin High,757-562-5187,Mr. Travis Felts,9-12,Franklin Public Schools
625,Franklin Middle,703-904-5100,Ms. Sharon L. Eisenberg,7-8,Fairfax County Public Schools
626,Franklin Military Academy,804-780-4968,Mrs. Sheron Carter-Gunter,6-12,Richmond Public Schools
627,Fred D. Thompson Middle,804-272-7554,Rickie Hopkins,6-8,Richmond Public Schools
628,Fred M. Lynn Middle,703-494-5157,Mr. Jorge Neves,6-8,Prince William County Public Schools
629,Frederick County Middle,540-667-4233,Ms. Susan Brinkmeier,6-8,Frederick County Public Schools
630,Frederick Douglass Elementary,571-252-1920,Mr. Timothy Martino,PK-5,Loudoun County Public Schools
631,Frederick Douglass Elementary,540-662-7656,Stephanie Downey,KG-4,Winchester Public Schools
632,Freedom High,703-957-4300,Douglas Fulton,9-12,Loudoun County Public Schools
633,Freedom High,703-583-1405,Inez Bryant,9-12,Prince William County Public Schools
634,Freedom Hill Elementary,703-506-7800,Mr. Scott E. Bloom,PK-6,Fairfax County Public Schools
635,Freedom Middle,540-548-1030,Mr. Alan C. Jacobs,6-8,Spotsylvania County Public Schools
636,Fresh Start Center,757-562-2903, ,,Southampton County Public Schools
637,Fries School,276-744-7201,Mrs. Elizabeth Brown,PK-7,Grayson County Public Schools
638,Frost Middle,703-426-5700,Ms. Marti Jackson,7-8,Fairfax County Public Schools
639,Fulks Run Elementary,540-896-7635,Dr. C. David Wenger,PK-5,Rockingham County Public Schools
640,G.A. Treakle Elementary,757-558-5361,Mrs. Shelia Johnson,PK-5,Chesapeake Public Schools
641,G.H. Reid Elementary,804-745-3550,Mr. Vincent Darby,PK-5,Richmond Public Schools
642,G.L.H. Johnson Elementary,434-799-6433,Mrs. Tonya Jackson,KG-5,Danville Public Schools
643,G.W. Carver Elementary,540-387-2492,"Dr. Joseph T, Coleman",KG-5,Salem Public Schools
644,Gainesboro Elementary,540-888-4550,Mrs. Kathleen M Weiss,KG-5,Frederick County Public Schools
645,Gainesville Middle,703-753-1702,Dr. Sally E. MacLean,6-8,Prince William County Public Schools
646,Galax Elementary,276-236-6159,Charles Brian Stuart,KG-4,Galax Public Schools
647,Galax High,276-236-2991,Mr. Justin P. Iroler,8-12,Galax Public Schools
648,Galax Middle,276-236-6124,Mrs. Kristina C. Legg,5-7,Galax Public Schools
649,Galbreath-Marshall Building,540-825-3677, ,PK,Culpeper County Public Schools
650,Galileo Magnet High,434-773-8186,Mr. William J. Lancaster,9-12,Danville Public Schools
651,Garden City Elementary,540-853-2971,Ms. Rebecah Smith,PK-5,Roanoke Public Schools
652,Garfield Elementary,703-923-2900,Christine M Slattery,PK-6,Fairfax County Public Schools
653,Gar-Field High,703-730-7000,Dr. Cherif Sadki,9-12,Prince William County Public Schools
654,Garland R. Quarles Elementary,540-662-3575,Joan Hovatter,PK-4,Winchester Public Schools
655,Garrisonville Elementary,540-658-6260,Ms. Alexis M. White,PK-5,Stafford County Public Schools
656,Gate City High,276-386-7522,Mr. William Gregory Ervin,10-12,Scott County Public Schools
657,Gate City Middle,276-386-6065,Mrs. Cynthia Dorton,7-9,Scott County Public Schools
658,Gates - Alternative High School Program,540-582-6831,Mr. William A. Ball Jr.,,Spotsylvania County Public Schools
659,Gateway Academy,540-582-3498, ,,Spotsylvania County Public Schools
660,Gatewood Academy,757-591-4963,Ms. Heather Jankovich,PK,Newport News Public Schools
661,Gayton Elementary,804-360-0820,Mrs. Peggy C. Wingfield,PK-5,Henrico County Public Schools
662,General Academic Development,804-652-3717, ,,Henrico County Public Schools
663,General Stanford Elementary,757-888-3200,Ms. Diane Willis,PK-5,Newport News Public Schools
664,Generating Recovery of Academic Direction,804-555-1212, ,,Henrico County Public Schools
665,George Carr Round Elementary,571-377-6400,Ms. Kara Mills,PK-4,Manassas Public Schools
666,George F. Baker Elementary,804-226-8755,Dr. Beverly B. Allen-Hardy,PK-5,Henrico County Public Schools
667,George G. Tyler Elementary,703-754-7181,Ms. Jennifer Perilla,PK-5,Prince William County Public Schools
668,George H. Moody Middle,804-261-5015,Mr. Paul E. Llewellyn,6-8,Henrico County Public Schools
669,George J. McIntosh Elementary,757-886-7767,Ms. Ethel Francis,PK-5,Newport News Public Schools
670,George Mason Elementary,703-706-4470,Kevin West,KG-5,Alexandria Public Schools
671,George Mason Elementary,804-780-4401,Sandra Bynum,PK-5,Richmond Public Schools
672,George Mason High,703-248-5500,Mr. Tyrone Byrd,9-12,Falls Church Public Schools
673,George P. Mullen Elementary,703-330-0427,Ms. Kathy Notyce,PK-5,Prince William County Public Schools
674,George P. Phenix Elementary,757-268-3500,Ms. Anita M. Owens,PK-8,Hampton Public Schools
675,George W. Carver Elementary,804-780-6247,Mrs. Kiwana Yates,PK-5,Richmond Public Schools
676,George W. Carver Intermediate,757-494-7505,Mrs. Angela L. Isbell,PK-5,Chesapeake Public Schools
677,George W. Watkins Elementary,804-966-9660,Mr. Russ Macomber,PK-5,New Kent County Public Schools
678,George Washington 2 Middle,703-706-4500,Pierrette Hall,6-8,Alexandria Public Schools
679,George Washington High,434-799-6410,Mr. Withers Jackson,9-12,Danville Public Schools
680,George Washington Middle,703-706-4500,Gregory Tardieu,6-8,Alexandria Public Schools
681,George Wythe High,804-780-5037,Ms. Reva Green Jr.,9-12,Richmond Public Schools
682,George Wythe High,276-228-3157,Mr. Richard W. Skeens Jr.,9-12,Wythe County Public Schools
683,Georgetown Primary,757-578-7060,Mrs. Terry A. Reitz,PK-3,Chesapeake Public Schools
684,Gereau Center for Applied Technology & Career Exploration,540-483-5446,Matthew J. Brain,8,Franklin County Public Schools
685,Ghent K-8,757-628-2565,Dr. Thomas McAnulty,KG-8,Norfolk Public Schools
686,Gilbert Linkous Elementary,540-951-5726,Mrs. Carol P. Kahler,KG-5,Montgomery County Public Schools
687,Giles County Tech. Center,540-921-1166, ,,Giles County Public Schools
688,Giles High,540-921-1711,Mr. Jason D Mills,8-12,Giles County Public Schools
689,Ginter Park Elementary,804-780-8193,Ms. Indira Williams,PK-5,Richmond Public Schools
690,Givens Elementary,276-991-0001,Mrs. Rebecca T Dye,PK-2,Russell County Public Schools
691,Glade Hill Elementary,540-576-3010,Mrs. Kimberly Poindexter,PK-5,Franklin County Public Schools
692,Glade Spring Middle,276-739-3800,Mr. Kelly Holmes,6-8,Washington County Public Schools
693,Gladesboro Elementary School,276-398-2493,Mrs. Samantha S Reed,PK-5,Carroll County Public Schools
694,Gladeville Elementary School,276-236-5449,Mrs. Mary Jane Carico,PK-5,Carroll County Public Schools
695,Glasgow Middle,703-813-8700,Ms. Penny M. Gros,6-8,Fairfax County Public Schools
696,Glebe Elementary,703-228-6280,Ms. Jamie Borg,PK-5,Arlington County Public Schools
697,Glen Allen Elementary,804-756-3040,Ms. Melissa R. Halquist-Pruden,PK-5,Henrico County Public Schools
698,Glen Allen High,804-501-3300,Mrs. Tracie A. Weston,9-12,Henrico County Public Schools
699,Glen Cove Elementary,540-561-8135,Dr. Jan Nichols,PK-5,Roanoke County Public Schools
700,Glen Forest Elementary,703-578-8000,Ms. Cynthia F. Choate,PK-5,Fairfax County Public Schools
701,Glen Lea Elementary,804-228-2725,Ms. Kimberly D. Lee,PK-5,Henrico County Public Schools
702,Glenkirk Elementary,703-753-1702,Lisa Gilkerson,PK-5,Prince William County Public Schools
703,Glenvar Elementary,540-387-6540,Mr. Danny Guard,PK-5,Roanoke County Public Schools
704,Glenvar High,540-387-6536,Mr. Joe Hafey,9-12,Roanoke County Public Schools
705,Glenvar Middle,540-387-6322,Mr. Jamie Soltis,6-8,Roanoke County Public Schools
706,Glenwood Elementary,757-648-2520,Ms. Susan W. Stuhlman,PK-5,Virginia Beach Public Schools
707,Gloucester High,804-693-2526,Dr. Layton (Tony) H Beverage,9-12,Gloucester County Public Schools
708,Goochland Elementary,804-556-5321,Tina McCay,PK-5,Goochland County Public Schools
709,Goochland High,804-556-5322,Mr. Mike Newman,9-12,Goochland County Public Schools
710,Goochland Middle,804-556-5320,Jennifer M. Smith,6-8,Goochland County Public Schools
711,Goodview Elementary,540-892-5674,Mr. Edwin L. Zimmerman,PK-5,Bedford County Public Schools
712,Gordon-Barbour Elementary,540-661-4500,Katrina Richardson,PK-5,Orange County Public Schools
713,Grace E. Metz Middle,571-377-6800,Ms. Angela Burnett,7-8,Manassas Public Schools
714,Grace Miller Elementary,540-439-1913,Mrs. Judith Williams,PK-5,Fauquier County Public Schools
715,Grafton Bethel Elementary,757-898-0350,Dr. Karen Grass,KG-5,York County Public Schools
716,Grafton High,757-898-0530,Mr. Royce Hart,9-12,York County Public Schools
717,Grafton Middle,757-898-0525,Dr. Karen Cagle,6-8,York County Public Schools
718,Grafton Village Elementary,540-373-5454,Mr. Michael B. Sidebotham,PK-5,Stafford County Public Schools
719,Graham High,276-326-1235,Mr. John O'Neal,9-12,Tazewell County Public Schools
720,Graham Intermediate,276-326-3737,Mr. Todd Baker,3-5,Tazewell County Public Schools
721,Graham Middle,276-326-1101,Lee Salyers,6-8,Tazewell County Public Schools
722,Graham Park Middle,703-221-2118,Gary J. Anderson,6-8,Prince William County Public Schools
723,Graham Road Elementary,571-226-2700,Ms. Tamara B. Ballou,PK-6,Fairfax County Public Schools
724,Granby Elementary,757-451-4150,Mr. Rohan Cumberbatch-Smith,PK-5,Norfolk Public Schools
725,Granby High,757-451-4110,Mr. Edward L. Daughtrey Jr.,9-12,Norfolk Public Schools
726,Grandin Court Elementary,540-853-2867,Ms. Theresa Pritchard,KG-5,Roanoke Public Schools
727,Grange Hall Elementary,804-739-6265,Dr. Randi Smith,PK-5,Chesterfield County Public Schools
728,Grassfield Elementary,757-558-8923,Mr. Robert Sander,PK-5,Chesapeake Public Schools
729,Grassfield High,757-558-4749,Mr. Michael N. Perez,9-12,Chesapeake Public Schools
730,Grayson County High,276-773-2131,Mrs. Brandi Ray,8-12,Grayson County Public Schools
731,Grayson County High Career & Technical Education,276-773-2951,Mrs. Karen Blevins,,Grayson County Public Schools
732,Grayson Highlands School,276-579-2235,Mr. Marlin Campbell,PK-7,Grayson County Public Schools
733,Great Bridge High,757-482-5191,Mrs. Michelle K. Porter,9-12,Chesapeake Public Schools
734,Great Bridge Intermediate,757-482-4405,Mrs. Heather D. Martin,3-5,Chesapeake Public Schools
735,Great Bridge Middle,757-482-5128,Mr. Craig K. Mills,6-8,Chesapeake Public Schools
736,Great Bridge Primary,757-547-1135,Mrs. Theresa L. Myers,PK-2,Chesapeake Public Schools
737,Great Falls Elementary,703-757-2100,Mr. Raymond Lonnett,PK-6,Fairfax County Public Schools
738,Great Neck Middle,757-648-4550,Dr. Eugene F. Soltner,6-8,Virginia Beach Public Schools
739,Green Run Collegiate,757-263-1264,Ms. Barbara Winn,9-12,Virginia Beach Public Schools
740,Green Run Elementary,757-648-2560,Ms. Joy Byrd-Butler,PK-5,Virginia Beach Public Schools
741,Green Run High,757-648-5350,Mr. Todd Tarkenton,9-12,Virginia Beach Public Schools
742,Green Valley Elementary,540-772-7556,Ms. Ashley McCallum,PK-5,Roanoke County Public Schools
743,Greenbriar East Elementary,703-633-6400,Ms. Linda Cohen,PK-6,Fairfax County Public Schools
744,Greenbriar West Elementary,703-633-6700,Ms. Lori M. Cleveland,PK-6,Fairfax County Public Schools
745,Greenbrier Elementary,434-245-2415,Mr. James E. Kyner,PK-4,Charlottesville Public Schools
746,Greenbrier Intermediate,757-578-7080,Mr. Keith C. Hyater,3-5,Chesapeake Public Schools
747,Greenbrier Middle,757-548-5309,Mr. Michael Mustain,6-8,Chesapeake Public Schools
748,Greenbrier Primary,757-436-3428,Mrs. Elizabeth S. Stublen,PK-2,Chesapeake Public Schools
749,Greendale Elementary,276-739-3500,Mrs. Allyson Willis,PK-5,Washington County Public Schools
750,Greene County Primary,434-985-5279,Mr. Mike Coiner,PK-2,Greene County Public Schools
751,Greene County Technical Education Center,434-985-5239,Mr. Harry A. Daniel,,Greene County Public Schools
752,Greenfield Elementary,540-992-4416,Ms. Laura R. O'Neil-Camp,PK-5,Botetourt County Public Schools
753,Greenfield Elementary,804-560-2720,Mary Dunn,PK-5,Chesterfield County Public Schools
754,Greensville County High,434-634-2195, ,9-12,Greensville County Public Schools
755,Greensville Elementary,434-336-0907,Mr. Curtis W. Young,PK-5,Greensville County Public Schools
756,Greenville Elementary,540-422-7570,Margie Riley,PK-5,Fauquier County Public Schools
757,Greenwood Elementary,804-261-2970,Dr. Debra S. Smith,PK-5,Henrico County Public Schools
758,Greenwood Mill Elementary,540-667-7863,Mrs. Kristin Waldrop,KG-5,Frederick County Public Schools
759,Gretna Elementary,434-656-2231,Mrs. Dianne C. Travis,PK-5,Pittsylvania County Public Schools
760,Gretna High,434-656-2246,Mr. Kenyon G. Scott,9-12,Pittsylvania County Public Schools
761,Gretna Middle,434-656-2217,Ms. Vera F. Glass,6-8,Pittsylvania County Public Schools
762,Grove Hill Preschool Academy,540-652-8544, ,PK,Page County Public Schools
763,Grove Park Preschool,434-799-6437,Ms. Sandra Andrews,PK,Danville Public Schools
764,Groveton Elementary,703-718-8000,Mr. Richard Pollio,PK-6,Fairfax County Public Schools
765,Grundy High,276-935-2106,Mrs. Leslie Horne,9-12,Buchanan County Public Schools
766,Guilford Elementary,571-434-4550,David Stewart,PK-5,Loudoun County Public Schools
767,Gunston Elementary,703-541-3600,Mr. Jovon Rogers,PK-6,Fairfax County Public Schools
768,Gunston Middle,703-228-6900,Ms. Lori Wiggins,6-8,Arlington County Public Schools
769,Guy K. Stump Elementary,540-337-1549,Mr. David K. Shriver,PK-5,Augusta County Public Schools
770,H.H. Poole Middle,540-658-6190,Robert Bingham,6-8,Stafford County Public Schools
771,H.M. Pearson Elementary,540-788-9071,Mrs. Cyndy Carter,PK-5,Fauquier County Public Schools
772,Halifax County Career Center,434-476-5515,Mr. David C. Riddle,,Halifax County Public Schools
773,Halifax County High,434-572-4977,Mr. Albert T. Randolph,9-12,Halifax County Public Schools
774,Halifax County Middle,434-572-4100,Mrs. Faye O. Bruce,6-8,Halifax County Public Schools
775,Halley Elementary,703-551-5700,Mrs. Jamey E. Chianetta,PK-6,Fairfax County Public Schools
776,Hamilton Elementary,540-751-2570,Ms. Teri Finn,PK-5,Loudoun County Public Schools
777,Hamilton Holmes Middle,804-769-3434,Mrs. Beverly Young,6-8,King William County Public Schools
778,Hampton High,757-825-4430,Dr. Sharmaine D. Grove,9-12,Hampton Public Schools
779,Hampton Oaks Elementary,540-658-6280,Ms. Daria Groover,PK-5,Stafford County Public Schools
780,Hanover High,804-723-3700,Dr. Dana E. Gresham,9-12,Hanover County Public Schools
781,Hardin Reynolds Elementary,276-694-3631,Shannon D. Brown,4-7,Patrick County Public Schools
782,Harding Avenue Elementary,540-951-5732,Ms. Meggan Marshall,KG-5,Montgomery County Public Schools
783,Hardy Elementary,757-357-3204,Mrs. Tawana Ford,PK-3,Isle of Wight County Public Schools
784,Harmony Middle,540-751-2500,Mr. Eric L. Stewart,6-8,Loudoun County Public Schools
785,Harold Macon Ratcliffe Elementary,804-343-6535,Ms. Felicia R. Burkhalter,PK-5,Henrico County Public Schools
786,Harper Park Middle,571-252-2820,Elizabeth Beth Robinson,6-8,Loudoun County Public Schools
